form,sound,meaning,type,etymology
三,san1,"surname San",ideographic,"Three  parallel lines; compare 一 (one) and 二 (two)"
三,san1,"three; 3",ideographic,"Three  parallel lines; compare 一 (one) and 二 (two)"
上,shang3,"used in 上聲|上声[shang3 sheng1]",ideographic,"One stroke on top of another; compare 下 (below)"
上,shang4,"(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above",ideographic,"One stroke on top of another; compare 下 (below)"
下,xia4,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action",ideographic,"One stroke under another; compare 上 (above)"
丌,ji1,"surname Ji",pictographic,"A table"
丌,ji1,"""pedestal"" component in Chinese characters",pictographic,"A table"
丌,qi2,"archaic variant of 其[qi2]",pictographic,"A table"
不,bu4,"no; not so; (bound form) not; un-",ideographic,"A bird flying toward the sky 一"
丏,mian3,"hidden from view; barrier to ward off arrows",,
丐,gai4,"to beg for alms; beggar",pictographic,"A person leaning forward to ask for help"
丑,chou3,"surname Chou",,
丑,chou3,"clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; ancient Chinese compass point: 30°",,
且,qie3,"and; moreover; yet; for the time being; to be about to; both (... and...)",pictographic,"A stone altar"
丕,pi1,"grand",,
世,shi4,"surname Shi",pictographic,"Three leaves on a branch"
世,shi4,"life; age; generation; era; world; lifetime; epoch; descendant; noble",pictographic,"Three leaves on a branch"
丘,qiu1,"surname Qiu",pictographic,"Two hills"
丘,qiu1,"mound; hillock; grave; classifier for fields",pictographic,"Two hills"
丙,bing3,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; ancient Chinese compass point: 165°; propyl",,
丞,cheng2,"deputy",pictophonetic,"one"
丢,diu1,"to lose; to put aside; to throw",ideographic,"A lost 厶 jade 玉"
并,bing4,"and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge",ideographic,"Simplified form of 並; two men standing side-by-side"
丨,gun3,"radical in Chinese characters (Kangxi radical 2)",,
丨,shu4,"vertical stroke (in Chinese characters), referred to as 豎筆|竖笔[shu4 bi3]",,
丩,jiu1,"archaic variant of 糾|纠[jiu1]",,
丫,ya1,"fork; branch; bifurcation; girl",ideographic,"A forked line 丨"
中,zhong1,"(bound form) China; Chinese; surname Zhong",ideographic,"A line 丨 through the center of a box 口"
中,zhong1,"within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right",ideographic,"A line 丨 through the center of a box 口"
中,zhong4,"to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery)",ideographic,"A line 丨 through the center of a box 口"
丰,feng1,"luxuriant; buxom; variant of 豐|丰[feng1]; variant of 風|风[feng1]; appearance; charm",pictographic,"An ear of grass"
丱,guan4,"two tufts of hair; young; underage",pictographic,"Two braids 丱 of hair"
丱,kuang4,"archaic variant of 礦|矿[kuang4]",pictographic,"Two braids 丱 of hair"
串,chuan4,"to string together; to skewer; to connect wrongly; to gang up; to rove; string; bunch; skewer; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; to make a swift or abrupt linear movement (like a bead on an abacus); to move across",ideographic,"Two objects 口 strung 丨 together"
丵,zhuo2,"thick grass; ""bush"" component in Chinese characters",,
丶,zhu3,"""dot"" radical in Chinese characters (Kangxi radical 3), aka 點|点[dian3]",,
丷,ba1,"""eight"" component in Chinese characters; archaic variant of 八[ba1]",,
