form,sound,meaning,type,etymology
威,wei1,"power; might; prestige",ideographic,"Dominating a woman 女 by force of arms 戈"
娃,wa2,"baby; doll",ideographic,"A girl 女 made of beautiful jade 圭"
娉,ping1,"graceful",pictophonetic,"woman"
娌,li3,"used in 妯娌[zhou2 li5]",pictophonetic,"woman"
娑,suo1,"(phonetic); see 婆娑[po2 suo1]",pictophonetic,"woman"
娓,wei3,"active; comply with",pictophonetic,"woman"
娘,niang2,"mother; young lady; (coll.) effeminate",pictophonetic,"woman"
娱,yu2,"to amuse",pictophonetic,"woman"
娜,na4,"(phonetic na); used esp. in female names such as Anna 安娜[An1 na4] or Diana 黛安娜[Dai4 an1 na4]",pictophonetic,"woman"
娜,nuo2,"elegant; graceful",pictophonetic,"woman"
娟,juan1,"beautiful; graceful",pictophonetic,"woman"
娠,shen1,"pregnant",pictophonetic,"woman"
娣,di4,"wife of a younger brother",pictophonetic,"woman"
娥,e2,"good; beautiful",pictophonetic,"woman"
娩,mian3,"to give birth to a child",pictophonetic,"woman"
娩,wan3,"complaisant; agreeable",pictophonetic,"woman"
娭,ai1,"see 娭姐[ai1 jie3], father's mother; granny (dialect); respectful form of address for older lady",pictophonetic,"woman"
娶,qu3,"to take a wife; to marry (a woman)",ideographic,"To take 取 a wife 女; 取 also provides the pronunciation"
娼,chang1,"prostitute",pictophonetic,"woman"
婀,e1,"variant of 婀[e1]",pictophonetic,"woman"
婀,e1,"graceful; willowy; unstable",pictophonetic,"woman"
娄,lou2,"surname Lou; one of the 28 lunar mansions in Chinese astronomy",ideographic,"A woman 女 looking up at a star 米"
婆,po2,"(bound form) grandmother; (bound form) matron; (bound form) mother-in-law; (slang) femme (in a lesbian relationship)",pictophonetic,"woman"
婉,wan3,"graceful; tactful",pictophonetic,"woman"
婊,biao3,"prostitute",pictophonetic,"woman"
婕,jie2,"handsome",pictophonetic,"woman"
婚,hun1,"to marry; marriage; wedding; to take a wife",pictophonetic,"woman"
婢,bi4,"slave girl; maid servant",ideographic,"A humble 卑 woman 女; 卑 also provides the pronunciation"
姻,yin1,"variant of 姻[yin1]",ideographic,"A woman 女 related by 因 marriage"
妇,fu4,"woman",ideographic,"Simplified form of 婦; a woman 女 with a broom 彐"
婧,jing4,"(literary) (of a woman) slender; delicate; (literary) (of a woman) talented",ideographic,"Like a young 青 woman 女; 青 also provides the pronunciation"
婪,lan2,"avaricious",pictophonetic,"woman"
娅,ya4,"(literary) term of address between husbands of sisters; (used to transliterate foreign names); (used in Chinese women's names)",pictophonetic,"woman"
婷,ting2,"graceful",pictophonetic,"woman"
婺,wu4,"beautiful",pictophonetic,"woman"
婿,xu4,"son-in-law; husband",pictophonetic,"woman"
妇,fu4,"old variant of 婦|妇[fu4]",ideographic,"Simplified form of 婦; a woman 女 with a broom 彐"
媒,mei2,"medium; intermediary; matchmaker; go-between; abbr. for 媒體|媒体[mei2 ti3], media, esp. news media",pictophonetic,"woman"
媕,an1,"undecided",pictophonetic,"woman"
媚,mei4,"flatter; charm",pictophonetic,"woman"
媛,yuan2,"used in 嬋媛|婵媛[chan2 yuan2] and in female names",pictophonetic,"woman"
媛,yuan4,"(bound form) beautiful woman",pictophonetic,"woman"
媠,duo4,"old variant of 惰[duo4]",pictophonetic,"woman"
媠,tuo2,"beautiful",pictophonetic,"woman"
娲,wa1,"surname Wa; sister of legendary emperor Fuxi 伏羲[Fu2xi1]",pictophonetic,"woman"
妫,gui1,"surname Gui; name of a river",,
媲,pi4,"to match; to pair",pictophonetic,"woman"
媳,xi2,"daughter-in-law",pictophonetic,"woman"
媵,ying4,"maid escorting bride to new home; concubine",pictophonetic,"woman"
媸,chi1,"ugly woman",pictophonetic,"woman"
媪,ao3,"old woman",pictophonetic,"woman"
妈,ma1,"ma; mom; mother",pictophonetic,"woman"
媾,gou4,"to marry; to copulate",ideographic,"To know a woman's 女 secret 冓; 冓 also provides the pronunciation"
愧,kui4,"old variant of 愧[kui4]",pictophonetic,"heart"
嫁,jia4,"(of a woman) to marry; to marry off a daughter; to shift (blame etc)",pictophonetic,"woman"
嫂,sao3,"(bound form) older brother's wife; sister-in-law",pictophonetic,"woman"
嫉,ji2,"jealousy; to be jealous of",ideographic,"An envious 疾 woman 女; 疾 also provides the pronunciation"
袅,niao3,"delicate; graceful",pictophonetic,"cloth"
嫌,xian2,"to dislike; suspicion; resentment; enmity; abbr. for 嫌犯[xian2 fan4], criminal suspect",pictophonetic,"woman"
嫖,piao2,"to visit a prostitute",pictophonetic,"woman"
妪,yu4,"old woman; to brood over; to protect",ideographic,"A woman 女 watching over her ward 区"
嫘,lei2,"surname Lei",pictophonetic,"woman"
嫚,man4,"surname Man",pictophonetic,"woman"
嫚,man4,"insult",pictophonetic,"woman"
嫜,zhang1,"husband's father",pictophonetic,"woman"
嫠,li2,"widow",pictophonetic,
嫡,di2,"(bound form) of or by the wife, as opposed to a concubine (contrasted with 庶[shu4])",pictophonetic,"woman"
嫣,yan1,"(literary) lovely; sweet",pictophonetic,"woman"
嫦,chang2,"used in 嫦娥[Chang2e2]; used in female given names",pictophonetic,"woman"
嫩,nen4,"young and tender; (of food) tender; lightly cooked; (of color) light; (of a person) inexperienced; unskilled",pictophonetic,"woman"
嫪,lao4,"surname Lao",pictophonetic,"woman"
嫪,lao4,"longing (unrequited passion)",pictophonetic,"woman"
嫫,mo2,"ugly woman",pictophonetic,"woman"
嫩,nen4,"old variant of 嫩[nen4]",pictophonetic,"woman"
妩,wu3,"flatter; to please",pictophonetic,"woman"
娴,xian2,"variant of 嫻|娴[xian2]",pictophonetic,"woman"
娴,xian2,"elegant; refined; to be skilled at",pictophonetic,"woman"
妫,gui1,"variant of 媯|妫[Gui1]",,
娆,rao2,"graceful",pictophonetic,"woman"
嬉,xi1,"amusement",pictophonetic,"woman"
婵,chan2,"used in 嬋娟|婵娟[chan2 juan1] and 嬋媛|婵媛[chan2 yuan2]",pictophonetic,"woman"
娇,jiao1,"lovable; pampered; tender; delicate; frail",pictophonetic,"woman"
嬖,bi4,"(treat as a) favorite",pictophonetic,"woman"
嬗,shan4,"(literary) to go through successive changes; to evolve",pictophonetic,"woman"
嫱,qiang2,"female court officials",pictophonetic,"woman"
嬛,huan2,"(used in names)",ideographic,"To stare 睘 after a woman 女; 睘 also provides the pronunciation"
嬛,qiong2,"(literary) alone; solitary (variant of 惸[qiong2]) (variant of 煢|茕[qiong2])",ideographic,"To stare 睘 after a woman 女; 睘 also provides the pronunciation"
嬛,xuan1,"used in 便嬛[pian2 xuan1]",ideographic,"To stare 睘 after a woman 女; 睘 also provides the pronunciation"
袅,niao3,"delicate; graceful",pictophonetic,"cloth"
嫒,ai4,"used in 令嬡|令嫒[ling4ai4]",pictophonetic,"woman"
嬷,mo2,"dialectal or obsolete equivalent of 媽|妈[ma1]; Taiwan pr. [ma1]",pictophonetic,"woman"
嫔,pin2,"imperial concubine",pictophonetic,"woman"
奶,nai3,"mother; variant of 奶[nai3]",pictophonetic,"woman"
婴,ying1,"infant; baby",pictophonetic,"woman"
嬲,niao3,"to tease; to disturb",ideographic,"A woman 女 flirting with two men 男"
嬴,ying2,"surname Ying",,
嬴,ying2,"old variant of 贏|赢[ying2], to win, to profit; old variant of 盈[ying2], full",,
婶,shen3,"wife of father's younger brother",pictophonetic,"woman"
懒,lan3,"variant of 懶|懒[lan3]",pictophonetic,"heart"
孀,shuang1,"widow",pictophonetic,"woman"
娘,niang2,"variant of 娘[niang2]",pictophonetic,"woman"
娈,luan2,"beautiful",ideographic,"Like 亦 a woman 女"
子,zi3,"son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the rat; viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; ancient Chinese compass point: 0° (north); subsidiary; subordinate; (prefix) sub-",pictographic,"A child in a wrap, with outstretched arms but bundled legs"
子,zi5,"(noun suffix)",pictographic,"A child in a wrap, with outstretched arms but bundled legs"
孑,jie2,"all alone",,
孓,jue2,"used in 孑孓[jie2 jue2]",pictophonetic,"seed"
孔,kong3,"surname Kong",ideographic,"The mouth 乚 of a crying baby 子"
孔,kong3,"hole; CL:個|个[ge4]; classifier for cave dwellings",ideographic,"The mouth 乚 of a crying baby 子"
孕,yun4,"pregnant",ideographic,"A woman delivering 乃 a child 子"
字,zi4,"letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China",ideographic,"A child 子 in a house 宀; 子 also provides the pronunciation"
存,cun2,"to exist; to deposit; to store; to keep; to survive",pictophonetic,"seed"
孚,fu2,"to trust; to believe in",ideographic,"A bird clutching 爫 its eggs 子"
孛,bei4,"comet",,
孜,zi1,"used in 孜孜[zi1zi1]",pictophonetic,"script"
孝,xiao4,"filial piety or obedience; mourning apparel",ideographic,"A young man 子 carrying an older man 耂"
孟,meng4,"surname Meng",ideographic,"A child 子 sitting on a throne 皿"
孟,meng4,"first month of a season; eldest amongst brothers",ideographic,"A child 子 sitting on a throne 皿"
孢,bao1,"spore",pictophonetic,"seed"
季,ji4,"surname Ji",ideographic,"The time for planting seeds 子 of grain 禾"
季,ji4,"season; the last month of a season; fourth or youngest amongst brothers; classifier for seasonal crop yields",ideographic,"The time for planting seeds 子 of grain 禾"
孤,gu1,"lone; lonely",pictophonetic,"child"
孥,nu2,"child; offspring",pictophonetic,"son"
孨,zhuan3,"(Internet slang) the three 子's that symbolize success in life: a house, a car and a wife (房子[fang2 zi5], 車子|车子[che1 zi5] and 妻子[qi1 zi5]); (archaic) cautious; cowardly",ideographic,"Many abandoned children 子 representing an orphanage"
孩,hai2,"(bound form) child",pictophonetic,"child"
孙,sun1,"surname Sun",ideographic,"Simplified form of 孫; a chain 系 of descent 子"
孙,sun1,"grandson; descendant",ideographic,"Simplified form of 孫; a chain 系 of descent 子"
孬,nao1,"(dialect) no good (contraction of 不[bu4] + 好[hao3])",ideographic,"Not 不 good 好"
孰,shu2,"who; which; what",,
孱,can4,"used in 孱頭|孱头[can4 tou5]",ideographic,"Weak 孨 in body 尸"
孱,chan2,"(bound form) weak; feeble",ideographic,"Weak 孨 in body 尸"
孳,zi1,"industrious; produce; bear",pictophonetic,"child"
孵,fu1,"breeding; to incubate; to hatch",ideographic,"To brood 孚 over eggs 卵"
学,xue2,"to learn; to study; to imitate; science; -ology",ideographic,"A building 冖 where children 子 study; ⺍ provides the pronunciation"
孺,ru2,"surname Ru",pictophonetic,"child"
孺,ru2,"child",pictophonetic,"child"
孽,nie4,"variant of 孽[nie4]",pictophonetic,"child"
孽,nie4,"son born of a concubine; disaster; sin; evil",pictophonetic,"child"
孪,luan2,"twins",ideographic,"Giving birth to a second 亦 child 子"
宀,mian2,"""roof"" radical (Kangxi radical 40), occurring in 家, 定, 安 etc, referred to as 寶蓋|宝盖[bao3 gai4]",,
冗,rong3,"variant of 冗[rong3]",ideographic,"A cover-cloth 冖 on a table 几"
它,ta1,"it",,
宄,gui3,"traitor",pictophonetic,"house"
宅,zhai2,"residence; (coll.) to stay in at home; to hang around at home",pictophonetic,"roof"
宇,yu3,"room; universe",pictophonetic,"building"
守,shou3,"to guard; to defend; to keep watch; to abide by the law; to observe (rules or ritual); nearby; adjoining",ideographic,"Keeping something 寸 within one's walls 宀"
安,an1,"surname An",ideographic,"A woman 女 safe in a house 宀"
安,an1,"(bound form) calm; peaceful; to calm; to set at ease; safe; secure; in good health; content; satisfied (as in 安於|安于[an1 yu2]); to place (sb) in a suitable position (job); to install; to fix; to fit; to bring (a charge against sb); to harbor (certain intentions); ampere (abbr. for 安培[an1 pei2])",ideographic,"A woman 女 safe in a house 宀"
宋,song4,"surname Song; the Song dynasty (960-1279); Song of the Southern Dynasties (420-479) 南朝宋[Nan2chao2 Song4]",ideographic,"A building 宀 made out of wood 木"
完,wan2,"to finish; to be over; whole; complete; entire",pictophonetic,"roof"
宏,hong2,"great; magnificent; macro (computing); macro-",pictophonetic,"building"
宓,mi4,"surname Mi",pictophonetic,"roof"
宓,mi4,"still; silent",pictophonetic,"roof"
宕,dang4,"dissipated; put off",ideographic,"A tunnel 宀 made in stone 石"
宗,zong1,"surname Zong",ideographic,"An altar 示 to the ancestor spirits found in one's home 宀"
宗,zong1,"school; sect; purpose; model; ancestor; clan; to take as one's model (in academic or artistic work); classifier for batches, items, cases (medical or legal), reservoirs",ideographic,"An altar 示 to the ancestor spirits found in one's home 宀"
官,guan1,"surname Guan",,
官,guan1,"government official; governmental; official; public; organ of the body; CL:個|个[ge4]",,
宙,zhou4,"eternity; (geology) eon",pictophonetic,"roof - the sky"
定,ding4,"to fix; to set; to make definite; to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc); to congeal; to coagulate; (literary) definitely",ideographic,"A person 疋 settling under a roof 宀"
宛,wan3,"surname Wan",pictophonetic,"roof"
宛,wan3,"winding; as if",pictophonetic,"roof"
宜,yi2,"surname Yi",ideographic,"A memorial service 且 held in a house 宀"
宜,yi2,"proper; should; suitable; appropriate",ideographic,"A memorial service 且 held in a house 宀"
客,ke4,"customer; visitor; guest",ideographic,"A person 各 welcomed under one's roof 宀; 各 also provides the pronunciation"
宣,xuan1,"surname Xuan",pictographic,"A palace, where proclamations are made"
宣,xuan1,"to declare (publicly); to announce",pictographic,"A palace, where proclamations are made"
室,shi4,"surname Shi",pictophonetic,"roof"
室,shi4,"room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy",pictophonetic,"roof"
宥,you4,"to forgive; to help; profound",pictophonetic,"roof"
宦,huan4,"surname Huan",ideographic,"A minister 臣 in a statehouse 宀"
宦,huan4,"imperial official; court eunuch",ideographic,"A minister 臣 in a statehouse 宀"
宫,gong1,"surname Gong",pictophonetic,"roof"
宫,gong1,"palace; temple; castration (as corporal punishment); first note in pentatonic scale",pictophonetic,"roof"
宰,zai3,"to slaughter; to butcher; to kill (animals etc); (coll.) to fleece; to rip off; to overcharge; (bound form) to govern; to rule; (bound form) (a title for certain government officials in ancient China)",ideographic,"A barracks 宀 where slaves 辛 live"
害,hai4,"to do harm to; to cause trouble to; harm; evil; calamity",,
宴,yan4,"(bound form) feast; repose",ideographic,"A woman 女 cooking food 日 for a house 宀 banquet"
宵,xiao1,"night",pictophonetic,"roof"
家,jia1,"home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]",pictophonetic,"roof"
宸,chen2,"imperial apartments",pictophonetic,"roof"
容,rong2,"surname Rong",pictophonetic,"roof"
容,rong2,"to hold; to contain; to allow; to tolerate; appearance; look; countenance",pictophonetic,"roof"
寇,kou4,"old variant of 寇[kou4]",ideographic,"Bandits mugging 攴 a person 元 in his home 宀"
宿,su4,"surname Su",ideographic,"A person 亻 sleeping in a bed 百 under a roof 宀"
宿,su4,"lodge for the night; old; former",ideographic,"A person 亻 sleeping in a bed 百 under a roof 宀"
宿,xiu3,"night; classifier for nights",ideographic,"A person 亻 sleeping in a bed 百 under a roof 宀"
宿,xiu4,"constellation",ideographic,"A person 亻 sleeping in a bed 百 under a roof 宀"
寂,ji4,"silent; solitary; Taiwan pr. [ji2]",pictophonetic,"roof"
冤,yuan1,"old variant of 冤[yuan1]",,
寄,ji4,"to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc)",pictophonetic,"roof"
寅,yin2,"3rd earthly branch: 3-5 a.m., 1st solar month (4th February-5th March), year of the Tiger; ancient Chinese compass point: 60°",,
密,mi4,"surname Mi; name of an ancient state",ideographic,"A silent 宓 mountain 山; 宓 also provides the pronunciation"
密,mi4,"secret; confidential; close; thick; dense",ideographic,"A silent 宓 mountain 山; 宓 also provides the pronunciation"
寇,kou4,"to invade; to plunder; bandit; foe; enemy",ideographic,"Bandits mugging 攴 a person 元 in his home 宀"
富,fu4,"surname Fu",pictophonetic,"roof"
富,fu4,"rich; abundant; wealthy",pictophonetic,"roof"
寐,mei4,"to sleep soundly",ideographic,"A bed 爿 in a house 宀; 未 provides the pronunciation"
寝,qin3,"old variant of 寢|寝[qin3]",ideographic,"A person 彐冖又 lying down on a bed 丬 in their home 宀"
寒,han2,"cold; poor; to tremble",,
寓,yu4,"to reside; to imply; to contain; residence",pictophonetic,"roof"
宁,ning4,"old variant of 寧|宁[ning4]",pictophonetic,"roof"
寞,mo4,"lonesome",pictophonetic,"roof"
察,cha2,"short name for Chahar Province 察哈爾|察哈尔[Cha2 ha1 er3]",pictophonetic,"roof"
察,cha2,"to examine; to inquire; to observe; to inspect; to look into; obvious; clearly evident",pictophonetic,"roof"
寡,gua3,"few; scant; widowed",,
寝,qin3,"(bound form) to lie down to sleep or rest; (bound form) bedroom; (bound form) imperial tomb; (literary) to stop; to cease",ideographic,"A person 彐冖又 lying down on a bed 丬 in their home 宀"
寤,wu4,"to awake from sleep",pictophonetic,"roof"
寥,liao2,"empty; lonesome; very few",pictophonetic,"roof"
实,shi2,"real; true; honest; really; solid; fruit; seed; definitely",,
宁,ning2,"abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Ning2xia4 Hui2zu2 Zi4zhi4qu1]; abbr. for Nanjing 南京[Nan2jing1]; surname Ning",pictophonetic,"roof"
宁,ning2,"peaceful; to pacify; to visit (one's parents etc)",pictophonetic,"roof"
宁,ning4,"would rather; to prefer; how (emphatic); Taiwan pr. [ning2]",pictophonetic,"roof"
寨,zhai4,"stronghold; stockade; camp; (stockaded) village",ideographic,"A fortress 宀 with walls made of wood 木"
审,shen3,"to examine; to investigate; carefully; to try (in court)",pictophonetic,"courtroom"
写,xie3,"to write",,
宽,kuan1,"surname Kuan",pictophonetic,"roof"
宽,kuan1,"wide; broad; loose; relaxed; lenient",pictophonetic,"roof"
寮,liao2,"Laos",pictophonetic,"roof"
寮,liao2,"hut; shack; small window; variant of 僚[liao2]",pictophonetic,"roof"
寰,huan2,"large domain; extensive region",pictophonetic,"roof"
宝,bao3,"variant of 寶|宝[bao3]",ideographic,"Jade 玉 kept in one's house 宀"
宠,chong3,"to love; to pamper; to spoil; to favor",pictophonetic,"roof"
宝,bao3,"jewel; gem; treasure; precious",ideographic,"Jade 玉 kept in one's house 宀"
寸,cun4,"a unit of length; inch; thumb",ideographic,"A hand with a dot indicating where the pulse can be felt, about an inch up the wrist"
寺,si4,"Buddhist temple; mosque; government office (old)",ideographic,"An offering 土 in your hand 寸"
封,feng1,"surname Feng",ideographic,"To seal 寸 something with a handful of mortar 土"
封,feng1,"to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters",ideographic,"To seal 寸 something with a handful of mortar 土"
尃,fu1,"to state to, to announce",pictophonetic,
射,she4,"to shoot; to launch; to allude to; radio- (chemistry)",pictographic,"A bow 身 being drawn by a hand 寸"
克,ke4,"variant of 剋|克[ke4]",ideographic,"A weapon 十 used to subdue a beast 兄"
将,jiang1,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把[ba3])",ideographic,"Going to bed 丬 at night 夕, a predictable future"
将,jiang4,"(bound form) a general; (literary) to command; to lead; (Chinese chess) general (on the black side, equivalent to a king in Western chess)",ideographic,"Going to bed 丬 at night 夕, a predictable future"
将,qiang1,"to desire; to invite; to request",ideographic,"Going to bed 丬 at night 夕, a predictable future"
专,zhuan1,"for a particular person, occasion, purpose; focused on one thing; special; expert; particular (to sth); concentrated; specialized",,
尉,wei4,"surname Wei",,
尉,wei4,"military officer",,
尉,yu4,"used in 尉遲|尉迟[Yu4 chi2] and 尉犁[Yu4 li2]",,
尊,zun1,"senior; of a senior generation; to honor; to respect; honorific; classifier for cannons and statues; ancient wine vessel",ideographic,"A hand 寸 making an offering of wine 酋"
寻,xun2,"to search; to look for; to seek",pictophonetic,"snout"
尌,shu4,"standing up; to stand (something) up",pictophonetic,"inch"
对,dui4,"right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair",ideographic,"A pair 又 of hands 寸"
导,dao3,"to transmit; to lead; to guide; to conduct; to direct",ideographic,"A hand 寸 pointing the way to someplace 巳"
小,xiao3,"small; tiny; few; young",ideographic,"Dividing 八 by a line 亅"
少,shao3,"few; less; to lack; to be missing; to stop (doing sth); seldom",pictographic,"Grains of sand; 小 provides the pronunciation and meaning"
少,shao4,"young",pictographic,"Grains of sand; 小 provides the pronunciation and meaning"
尔,er3,"variant of 爾|尔[er3]",,
尕,ga3,"little (dialect)",pictophonetic,"small"
尖,jian1,"pointed; tapering; sharp; (of a sound) shrill; piercing; (of one's hearing, sight etc) sharp; acute; keen; to make (one's voice) shrill; sharp point; tip; the best of sth; the cream of the crop",ideographic,"A point, small 小 over big 大"
尗,shu1,"archaic variant of 菽[shu1]; archaic variant of 叔[shu1]",ideographic,"The smaller 小 of two brothers"
尙,shang4,"variant of 尚, still; yet; to value; to esteem",,
尚,shang4,"surname Shang",,
尚,shang4,"still; yet; to value; to esteem",,
尜,ga2,"toy formed of a spindle with two sharp ends",ideographic,"A diamond: small 小 to big 大 to small 小"
鲜,xian3,"variant of 鮮|鲜[xian3]",pictophonetic,"fish"
鲜,xian3,"variant of 尟|鲜[xian3]",pictophonetic,"fish"
尢,wang1,"lame",ideographic,"Cutting 一 off the feet 儿; compare 兀"
尤,you2,"surname You",pictophonetic,
尤,you2,"outstanding; particularly, especially; a fault; to express discontentment against",pictophonetic,
尥,liao4,"to give a backward kick (e.g. of a horse)",,
尨,pang2,"surname Pang",ideographic,"A hairy 彡 dog 犬"
尨,mang2,"shaggy dog; striped",ideographic,"A hairy 彡 dog 犬"
尨,pang2,"old variant of 龐|庞[pang2]; huge; enormous",ideographic,"A hairy 彡 dog 犬"
尬,ga4,"embarrassing; awkward",pictophonetic,"lame"
就,jiu4,"(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 著|着[zhe5]) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ...; (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...",pictophonetic,"specialty"
尴,gan1,"used in 尷尬|尴尬[gan1 ga4]",pictophonetic,"lame"
尸,shi1,"(literary) person representing the deceased (during burial ceremonies); (literary) to put a corpse on display (after execution); corpse (variant of 屍|尸[shi1])",pictographic,"A man keeled over"
尹,yin3,"surname Yin",pictographic,"A scepter"
尹,yin3,"(literary) to administer; to govern; (bound form) governor; prefect; magistrate (official title in imperial times)",pictographic,"A scepter"
尺,che3,"one of the characters used to represent a musical note in gongche notation, 工尺譜|工尺谱[gong1 che3 pu3]",ideographic,"Picture of a man measuring by pacing"
尺,chi3,"a Chinese foot; one-third of a meter; a ruler; a tape-measure; one of the three acupoints for measuring pulse in Chinese medicine; CL:支[zhi1],把[ba3]",ideographic,"Picture of a man measuring by pacing"
尻,kao1,"(literary) buttocks; rump; coccyx; sacrum",pictophonetic,"body"
尼,ni2,"Buddhist nun; (often used in phonetic spellings)",,
尾,wei3,"tail; remainder; remnant; extremity; sixth of the 28 constellations; classifier for fish",ideographic,"A furry 毛 tail behind a body 尸"
尾,yi3,"horse's tail; pointed posterior section of a locust etc",ideographic,"A furry 毛 tail behind a body 尸"
尿,niao4,"to urinate; urine; CL:泡[pao1]",ideographic,"A person, crouched 尸 passing water 水"
尿,sui1,"(coll.) urine",ideographic,"A person, crouched 尸 passing water 水"
局,ju2,"office; situation; classifier for games: match, set, round etc",ideographic,"A place where measures 尺 are discussed 口"
屁,pi4,"fart; flatulence; nonsense; (usu. in the negative) what; (not) a damn thing",pictophonetic,"body"
屄,bi1,"cunt (vulgar)",ideographic,"A hole 穴 in a woman's body 尸"
居,ju1,"surname Ju",pictophonetic,"door"
居,ji1,"(archaic) sentence-final particle expressing a doubting attitude",pictophonetic,"door"
居,ju1,"to reside; to be (in a certain position); to store up; to be at a standstill; residence; house; restaurant; classifier for bedrooms",pictophonetic,"door"
届,jie4,"to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures, years (of graduation)",,
屈,qu1,"surname Qu",pictophonetic,"corpse"
屈,qu1,"bent; to feel wronged",pictophonetic,"corpse"
屋,wu1,"(bound form) house; (bound form) room",ideographic,"To stop 至 under a roof 尸 (variant of 厂)"
屌,diao3,"penis; (slang) cool or extraordinary; (Cantonese) to fuck",ideographic,"Something hanging 吊 from the body 尸; 吊 also provides the pronunciation"
尸,shi1,"(bound form) corpse",pictographic,"A man keeled over"
屎,shi3,"feces; excrement; a stool; (bound form) secretion (of the ear, eye etc)",ideographic,"A person, crouched 尸 defecating 米; 米 also provides the pronunciation"
屏,bing1,"see 屏營|屏营[bing1 ying2]",pictophonetic,"door"
屏,bing3,"to get rid of; to put aside; to reject; to keep control; to hold (one's breath)",pictophonetic,"door"
屏,ping2,"(standing) screen",pictophonetic,"door"
屐,ji1,"clogs",pictophonetic,"step"
屑,xie4,"bits; fragments; crumbs; filings; trifling; trivial; to condescend to",pictophonetic,"body"
屃,xi4,"variant of 屭|屃[xi4]",ideographic,"Simplified form of 屭; a strong 贔 body 尸"
展,zhan3,"surname Zhan",ideographic,"Laying out clothes 㠭 for sale in a market 尸; compare 㠭"
展,zhan3,"to spread out; to open up; to exhibit; to put into effect; to postpone; to prolong; exhibition",ideographic,"Laying out clothes 㠭 for sale in a market 尸; compare 㠭"
屙,e1,"(dialect) to excrete (urine or feces)",pictophonetic,"body"
屉,ti4,"drawer; tier; tray",,
屠,tu2,"surname Tu",pictophonetic,"corpse"
屠,tu2,"to slaughter (animals for food); to massacre",pictophonetic,"corpse"
屡,lu:3,"time and again; repeatedly; frequently",pictophonetic,"body"
屣,xi3,"slippers",ideographic,"A person 尸 walking 彳; 徙 also provides the pronunciation"
层,ceng2,"to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers",ideographic,"Simplified form of 層; 曾 provides the pronunciation"
履,lu:3,"shoe; to tread on",ideographic,"A person 尸 walking 彳; 復 also provides the pronunciation"
屦,ju4,"sandals",pictophonetic,"step"
属,shu3,"category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute",pictophonetic,"body"
属,zhu3,"to join together; to fix one's attention on; to concentrate on",pictophonetic,"body"
屃,xi4,"see 贔屭|赑屃[Bi4 xi4]",ideographic,"Simplified form of 屭; a strong 贔 body 尸"
屮,che4,"plants sprouting",pictographic,"A sprout"
屯,tun2,"to station (soldiers); to store up; village",,
屯,zhun1,"used in 屯邅[zhun1zhan1]",,
山,shan1,"surname Shan",pictographic,"Three mountain peaks"
山,shan1,"mountain; hill (CL:座[zuo4]); (coll.) small bundle of straw for silkworms to spin cocoons on",pictographic,"Three mountain peaks"
屹,yi4,"high and steep",pictophonetic,"mountain"
屺,qi3,"(literary) a barren hill",pictophonetic,"mountain"
屾,shen1,"(literary) two mountains standing next to each other",ideographic,"Two mountains 山; 山 also provides the pronunciation"
坂,ban3,"variant of 阪[ban3]",pictophonetic,"earth"
岈,ya2,"see 嵖岈山[Cha2 ya2 Shan1]",pictophonetic,"mountain"
岌,ji2,"lofty peak; perilous",pictophonetic,"mountain"
岍,qian1,"name of a mountain",pictophonetic,"mountain"
岐,qi2,"surname Qi; also used in place names",pictophonetic,"mountain"
岐,qi2,"variant of 歧[qi2]",pictophonetic,"mountain"
岑,cen2,"surname Cen",pictophonetic,"mountain"
岑,cen2,"small hill",pictophonetic,"mountain"
