hanzi,pinyin
冡,meng2
冢,zhong3
冣,ju4
最,zui4
冤,yuan1
冥,ming2
幂,mi4
冫,bing1
冬,dong1
冰,bing1
冱,hu4
冶,ye3
冷,leng3
冷,leng3
泯,min3
冼,xian3
冽,lie4
凄,qi1
准,zhun3
凇,song1
净,jing4
凋,diao1
凌,ling2
凌,ling2
冻,dong4
凛,lin3
凝,ning2
几,ji1
凡,fan2
凡,fan2
処,chu3
凰,huang2
凯,kai3
凯,kai3
凳,deng4
凭,ping2
凵,kan3
凶,xiong1
凸,tu1
凹,ao1
凹,wa1
出,chu1
凼,dang4
函,han2
刀,dao1
刀,dao1
刁,diao1
刁,diao1
刂,dao1
刃,ren4
分,fen1
分,fen4
切,qie1
切,qie4
刈,yi4
刊,kan1
刎,wen3
刑,xing2
刑,xing2
划,hua2
刖,yue4
列,lie4
初,chu1
判,pan4
别,bie2
别,bie2
劫,jie2
劫,jie2
刨,bao4
刨,pao2
利,li4
利,li4
删,shan1
刮,gua1
到,dao4
刳,ku1
制,zhi4
刷,shua1
刷,shua4
券,quan4
刺,ci1
刺,ci4
刻,ke4
劫,jie2
剁,duo4
剃,ti4
刭,jing3
则,ze2
锉,cuo4
削,xiao1
削,xue1
克,ke4
克,ke4
剋,ke4
剌,la2
剌,la4
前,qian2
刹,cha4
刹,sha1
创,chuang4
剔,ti1
剖,pou1
创,chuang4
刚,gang1
剜,wan1
剥,bao1
剥,bo1
剞,ji1
剡,shan4
剡,yan3
剩,sheng4
剪,jian3
剪,jian3
剐,gua3
副,fu4
割,ge1
剳,da2
札,zha2
剀,kai3
创,chuang1
创,chuang4
铲,chan3
戮,lu4
剽,piao1
剿,chao1
剿,jiao3
劁,qiao1
劂,jue2
划,hua2
划,hua4
劄,zha1
札,zha2
剧,ju4
劈,pi1
劈,pi3
刘,liu2
刘,liu2
刽,gui4
刿,gui4
剑,jian4
劐,huo1
劐,huo4
剂,ji4
剑,jian4
劓,yi4
力,li4
力,li4
功,gong1
加,jia1
加,jia1
劣,lie4
劦,lie4
劦,xie2
助,zhu4
努,nu3
劫,jie2
劬,qu2
劭,shao4
劭,shao4
券,quan4
劵,juan4
效,xiao4
劼,jie2
劾,he2
劲,jin4
劲,jing4
勃,bo2
敕,chi4
勇,yong3
勈,yong3
勉,mian3
倦,juan4
勐,meng3
敕,chi4
勒,le4
勒,lei1
动,dong4
勖,xu4
勘,kan1
务,wu4
勋,xun1
胜,sheng4
劳,lao2
募,mu4
势,shi4
勤,qin2
剿,chao1
剿,jiao3
勰,xie2
劢,mai4
勋,xun1
勋,xun1
励,li4
励,li4
劝,quan4
勹,bao1
勺,shao2
匀,yun2
勾,gou1
勾,gou1
勾,gou4
勿,wu4
丐,gai4
丐,gai4
包,bao1
包,bao1
匆,cong1
匈,xiong1
匈,xiong1
匊,ju1
匋,tao2
匍,pu2
匏,pao2
匐,fu2
匕,bi3
化,hua1
化,hua4
北,bei3
匙,chi2
匙,shi
匚,fang1
匝,za1
炕,kang4
匠,jiang4
匡,kuang1
匡,kuang1
匣,xia2
匧,qie4
匪,fei3
匦,gui3
汇,hui4
匮,kui4
匮,gui4
匮,kui4
奁,lian2
奁,lian2
匸,xi4
匹,pi1
匹,pi3
匽,yan3
匾,bian3
匿,ni4
区,ou1
区,qu1
十,shi2
卂,xun4
千,qian1
卄,nian4
卅,sa4
升,sheng1
午,wu3
卉,hui4
半,ban4
卌,xi4
卑,bei1
卒,cu4
卒,zu2
卓,zhuo2
卓,zhuo2
协,xie2
南,nan2
南,nan2
博,bo2
卜,bu3
卜,bu3
卞,bian4
卞,bian4
卟,bu3
占,zhan1
占,zhan4
卡,ka3
卡,qia3
卣,you3
卦,gua4
卩,jie2
卬,ang2
卬,ang2
卮,zhi1
卯,mao3
印,yin4
印,yin4
危,wei1
危,wei1
即,ji2
卵,luan3
卷,juan3
卷,juan4
卸,xie4
恤,xu4
却,que4
卿,qing1
膝,xi1
厂,han3
厄,e4
厓,ya2
厗,ti2
厘,li2
厍,she4
厚,hou4
厝,cuo4
原,yuan2
原,yuan2
厕,ce4
历,li4
厥,jue2
厪,jin3
厪,qin2
厌,yan4
厮,si1
厉,li4
厉,li4
厣,yan3
厶,mou3
厶,si1
厷,gong1
厷,hong2
厹,qiu2
厹,rou2
去,qu4
叁,san1
叁,san1
参,can1
参,cen1
参,shen1
参,can1
又,you4
叉,cha1
叉,cha2
叉,cha3
及,ji2
友,you3
反,fan3
叒,ruo4
叔,shu1
叕,zhuo2
取,qu3
受,shou4
假,jia3
叛,pan4
叟,sou3
睿,rui4
丛,cong2
口,kou3
古,gu3
古,gu3
句,gou1
句,ju4
另,ling4
叨,dao1
叨,tao1
叩,kou4
只,zhi1
只,zhi3
叫,jiao4
召,shao4
召,zhao4
叭,ba1
叮,ding1
可,ke3
可,ke4
台,tai2
台,tai2
叱,chi4
史,shi3
史,shi3
右,you4
叵,po3
叶,xie2
司,si1
司,si1
叻,le4
叼,diao1
吁,xu1
吁,yu4
吃,chi1
各,ge4
吆,yao1
合,ge3
合,he2
吉,ji2
吉,ji2
吊,diao4
吋,cun4
同,tong2
名,ming2
后,hou4
后,hou4
吏,li4
吐,tu3
吐,tu4
向,xiang4
向,xiang4
吒,zha1
吒,zha4
吖,a1
咿,yi1
君,jun1
吝,lin4
吞,tun1
吟,yin2
吠,fei4
吡,bi3
否,fou3
否,pi3
吧,ba1
吧,ba
吩,fen1
含,han2
听,yin3
吭,hang2
吭,keng1
吮,shun3
吱,zhi1
吱,zi1
吲,yin3
吴,wu2
吵,chao3
呐,na4
呐,na
吸,xi1
吹,chui1
吻,wen3
吼,hou3
吾,wu2
吾,wu2
呀,ya
吕,lv3
吕,lv3
呃,e4
呆,dai1
呈,cheng2
告,gao4
呋,fu1
叫,jiao4
呎,chi3
呑,tun1
呔,dai1
呔,tai3
呢,ne
呢,ni2
呤,ling2
呤,ling4
呦,you1
周,zhou1
周,zhou1
咒,zhou4
呫,che4
呫,tie4
呫,zhan1
呱,gu1
呲,ci1
呲,zi1
味,wei4
呵,a1
呵,he1
呶,nao2
呶,nu3
呷,xia1
呸,pei1
呻,shen1
呼,hu1
命,ming4
咀,ju3
咀,zui3
咂,za1
咄,duo1
咅,pou3
咆,pao2
和,he2
咋,za3
咋,ze2
咋,zha1
和,he2
和,he2
和,he4
和,hu2
和,huo2
和,huo4
咎,jiu4
咐,fu4
咑,da1
咒,zhou4
咔,ka3
咕,gu1
咖,ga1
咖,ka1
咚,dong1
咠,qi4
咢,e4
咣,guang1
咤,zha4
咥,die2
咥,xi4
咦,yi2
咧,lie1
咧,lie3
咧,lie
咨,zi1
咩,mie1
咪,mi1
咫,zhi3
咬,yao3
咭,ji1
咯,ge1
咯,lo
咯,luo4
咱,za2
咱,zan2
笑,xiao4
咳,hai1
咳,ke2
咴,hui1
咸,xian2
咸,xian2
咻,xiu1
呙,guo1
呙,wai1
咽,yan1
咽,yan4
咽,ye4
咾,lao3
咿,yi1
哀,ai1
哀,ai1
品,pin3
哂,shen3
哄,hong1
哄,hong3
哆,duo1
哇,wa1
哇,wa
哈,ha1
哈,ha1
哈,ha3
哉,zai1
哌,pai4
哎,ai1
哏,gen2
哏,hen3
哐,kuang1
哚,duo3
哞,mou1
员,yuan2
哥,ge1
哦,e2
哦,o2
哦,o4
哦,o
哧,chi1
哨,shao4
哩,li3
哩,li
哪,na3
哪,na
哪,ne2
哪,nei3
哭,ku1
哮,xiao4
哱,bo1
哲,zhe2
哳,zha1
咩,mie1
哺,bu3
哼,heng1
哽,geng3
哿,ge3
唁,yan4
呗,bai4
呗,bei
唅,han2
唆,suo1
唇,chun2
唉,ai1
唉,ai4
唎,li4
唎,li
唏,xi1
唐,tang2
唐,tang2
唑,zuo4
唔,wu2
唣,zao4
启,qi3
吣,qin4
唣,zao4
唧,ji1
唪,feng3
吟,yin2
唫,jin4
唫,yin2
唬,hu3
售,shou4
唯,wei2
唯,wei3
唰,shua1
唱,chang4
唳,li4
唵,an3
唷,yo1
唷,yo
念,nian4
唼,sha3
唾,tuo4
唿,hu1
啁,zhao1
啁,zhou1
啃,ken3
啄,zhuo2
商,shang1
商,shang1
啉,lin2
啊,a1
啊,a2
啊,a3
啊,a4
啊,a
问,wen4
啐,cui4
喋,die2
启,qi3
啕,tao2
啖,dan4
啖,dan4
啜,chuo4
哑,ya1
哑,ya3
启,qi3
启,qi3
啡,fei1
衔,xian2
啤,pi2
啥,sha2
啦,la1
啦,la
啪,pa1
啫,zhe3
啵,bo1
啵,bo
啶,ding4
啷,lang1
啻,chi4
啼,ti2
啾,jiu1
喀,ka1
喁,yong2
喁,yu2
喂,wei2
喂,wei4
喃,nan2
善,shan4
喆,zhe2
喇,la1
喇,la3
喈,jie1
喉,hou2
喊,han3
喋,die2
喏,nuo4
喏,re3
喑,yin1
咱,zan2
喔,o1
喔,o
喔,wo1
喘,chuan3
喙,hui4
唤,huan4
喜,xi3
喝,he1
喝,he4
喟,kui4
喧,xuan1
喨,liang4
丧,sang1
丧,sang4
吃,chi1
乔,qiao2
乔,qiao2
单,shan4
单,dan1
喱,li2
哟,yo1
哟,yo
喳,cha1
喳,zha1
喵,miao1
喹,kui2
喻,yu4
喻,yu4
喼,jie2
喿,sao4
啼,ti2
嗄,a2
嗄,sha4
嗅,xiu4
呛,qiang1
呛,qiang4
啬,se4
嗉,su4
唝,gong4
唝,hong3
嗌,ai4
嗌,yi4
嗍,suo1
吗,ma2
吗,ma3
吗,ma
嗐,hai4
嗑,ke4
嗒,da1
嗒,ta4
嗓,sang3
嗔,chen1
嗖,sou1
呜,wu1
嗜,shi4
嗝,ge2
嗟,jie1
嗡,weng1
嗣,si4
嗤,chi1
嗥,hao2
嗦,suo1
嗨,hai1
唢,suo3
嗪,qin2
嗬,he1
嗯,en1
嗯,en4
嗯,en
嗲,dia3
嗵,tong1
哔,bi4
嗷,ao2
嗽,sou4
嗾,sou3
嘀,di1
嘀,di2
嘁,qi1
嘅,ge3
慨,kai3
叹,tan4
嘈,cao2
嘉,jia1
嘉,jia1
嘌,piao4
喽,lou2
喽,lou
嘎,ga2
嘏,gu3
嘏,jia3
呼,hu1
呕,ou3
啧,ze2
尝,chang2
嘚,de1
嘛,ma2
嘛,ma
唛,mai4
嘞,lei
嘟,du1
嘎,ga2
嘢,ye3
嘣,beng1
嘧,mi4
哗,hua1
哗,hua2
嘬,chuai4
嘬,zuo1
嘭,peng1
唠,lao2
唠,lao4
啸,xiao4
叽,ji1
嘲,chao2
嘲,zhao1
嘴,zui3
哓,xiao1
嘶,si1
嗥,hao2
呒,fu3
嘹,liao2
嘻,xi1
啴,chan3
啴,tan1
嘿,hei1
啖,dan4
噌,ceng1
噌,cheng1
噍,jiao4
噎,ye1
嘘,xu1
噔,deng1
噗,pu1
噘,jue1
噙,qin2
咝,si1
哒,da1
噢,o1
噤,jin4
哝,nong2
哕,hui4
哕,yue3
器,qi4
噩,e4
噪,zao4
噫,yi1
噬,shi4
嗳,ai3
嗳,ai4
噱,jue2
哙,kuai4
哙,kuai4
哙,wei4
喷,pen1
喷,pen4
噶,ga2
吨,dun1
当,dang1
噻,sai1
噼,pi1
咛,ning2
嚄,huo4
嚄,o3
嚅,ru2
嚆,hao1
吓,he4
吓,xia4
哜,ji4
嚎,hao2
嚏,ti4
尝,chang2
嚓,ca1
嚓,cha1
噜,lu1
啮,nie4
咽,yan4
呖,li4
咙,long2
向,xiang4
嚯,huo4
喾,ku4
严,yan2
严,yan2
嘤,ying1
嚷,rang3
嚼,jiao2
嚼,jiao4
啭,zhuan4
嗫,nie4
嚣,xiao1
冁,chan3
呓,yi4
啰,luo1
啰,luo2
啰,luo
囊,nang2
苏,su1
嘱,zhu3
啮,nie4
囔,nang1
囗,wei2
因,yin1
