id,name,latin,tone
306,mó,mo,2
307,mǒ,mo,3
308,mò,mo,4
309,mōu,mou,1
310,móu,mou,2
311,mǒu,mou,3
312,mú,mu,2
313,mǔ,mu,3
314,mù,mu,4
315,fā,fa,1
316,fá,fa,2
317,fǎ,fa,3
318,fà,fa,4
319,fān,fan,1
320,fán,fan,2
321,fǎn,fan,3
322,fàn,fan,4
323,fāng,fang,1
324,fáng,fang,2
325,fǎng,fang,3
326,fàng,fang,4
327,fēi,fei,1
328,féi,fei,2
329,fěi,fei,3
330,fèi,fei,4
331,fēn,fen,1
332,fén,fen,2
333,fěn,fen,3
334,fèn,fen,4
335,fēng,feng,1
336,féng,feng,2
337,fěng,feng,3
338,fèng,feng,4
339,fó,fo,2
340,fǒu,fou,3
341,fū,fu,1
342,fú,fu,2
343,fǔ,fu,3
344,fù,fu,4
345,dā,da,1
346,dá,da,2
347,dǎ,da,3
348,dà,da,4
349,da,da,
350,dāi,dai,1
351,dǎi,dai,3
352,dài,dai,4
353,dān,dan,1
354,dǎn,dan,3
355,dàn,dan,4
356,dāng,dang,1
357,dǎng,dang,3
358,dàng,dang,4
359,dāo,dao,1
360,dǎo,dao,3
361,dào,dao,4
362,dē,de,1
363,dé,de,2
364,de,de,
365,děi,dei,3
366,dēng,deng,1
367,děng,deng,3
368,dèng,deng,4
369,dī,di,1
370,dí,di,2
371,dǐ,di,3
372,dì,di,4
373,diǎ,dia,3
374,diān,dian,1
375,diǎn,dian,3
376,diàn,dian,4
377,diāo,diao,1
378,diǎo,diao,3
379,diào,diao,4
380,diē,die,1
381,dié,die,2
382,dīng,ding,1
383,dǐng,ding,3
384,dìng,ding,4
385,diū,diu,1
386,dōng,dong,1
387,dǒng,dong,3
388,dòng,dong,4
389,dōu,dou,1
390,dǒu,dou,3
391,dòu,dou,4
392,dū,du,1
393,dú,du,2
394,dǔ,du,3
395,dù,du,4
396,duān,duan,1
397,duǎn,duan,3
398,duàn,duan,4
399,duī,dui,1
400,duǐ,dui,3
401,duì,dui,4
402,dūn,dun,1
403,dǔn,dun,3
404,dùn,dun,4
405,duō,duo,1
406,duó,duo,2
407,duǒ,duo,3
408,duò,duo,4
409,tā,ta,1
410,tǎ,ta,3
411,tà,ta,4
412,tāi,tai,1
413,tái,tai,2
414,tǎi,tai,3
415,tài,tai,4
416,tān,tan,1
417,tán,tan,2
418,tǎn,tan,3
419,tàn,tan,4
420,tāng,tang,1
421,táng,tang,2
422,tǎng,tang,3
423,tàng,tang,4
424,tāo,tao,1
425,táo,tao,2
426,tǎo,tao,3
427,tào,tao,4
428,tè,te,4
429,téng,teng,2
430,tī,ti,1
431,tí,ti,2
432,tǐ,ti,3
433,tì,ti,4
434,tiān,tian,1
435,tián,tian,2
436,tiǎn,tian,3
437,tiàn,tian,4
438,tiāo,tiao,1
439,tiáo,tiao,2
440,tiǎo,tiao,3
441,tiào,tiao,4
442,tiē,tie,1
443,tiě,tie,3
444,tiè,tie,4
445,tīng,ting,1
446,tíng,ting,2
447,tǐng,ting,3
448,tōng,tong,1
449,tóng,tong,2
450,tǒng,tong,3
451,tòng,tong,4
452,tōu,tou,1
453,tóu,tou,2
454,tǒu,tou,3
455,tòu,tou,4
456,tou,tou,
457,tū,tu,1
458,tú,tu,2
459,tǔ,tu,3
460,tù,tu,4
461,tuān,tuan,1
462,tuán,tuan,2
463,tuǎn,tuan,3
464,tuàn,tuan,4
465,tuī,tui,1
466,tuí,tui,2
467,tuǐ,tui,3
468,tuì,tui,4
469,tūn,tun,1
470,tún,tun,2
471,tǔn,tun,3
472,tùn,tun,4
473,tuō,tuo,1
474,tuó,tuo,2
475,tuǒ,tuo,3
476,tuò,tuo,4
477,nā,na,1
478,ná,na,2
479,nǎ,na,3
480,nà,na,4
481,na,na,
482,nǎi,nai,3
483,nài,nai,4
484,nān,nan,1
485,nán,nan,2
486,nǎn,nan,3
487,nàn,nan,4
488,nāng,nang,1
489,náng,nang,2
490,nǎng,nang,3
491,nāo,nao,1
492,náo,nao,2
493,nǎo,nao,3
494,nào,nao,4
495,né,ne,2
496,nè,ne,4
497,ne,ne,
498,něi,nei,3
499,nèi,nei,4
500,nèn,nen,4
501,néng,neng,2
502,nī,ni,1
503,ní,ni,2
504,nǐ,ni,3
505,nì,ni,4
506,niān,nian,1
507,nián,nian,2
508,niǎn,nian,3
509,niàn,nian,4
510,niáng,niang,2
511,niàng,niang,4
512,niǎo,niao,3
513,niào,niao,4
514,niē,nie,1
515,niè,nie,4
516,nín,nin,2
517,níng,ning,2
518,nǐng,ning,3
519,nìng,ning,4
520,niū,niu,1
521,niú,niu,2
522,niǔ,niu,3
523,niù,niu,4
524,nóng,nong,2
525,nòng,nong,4
526,nòu,nou,4
527,nú,nu,2
528,nǔ,nu,3
529,nù,nu,4
530,nuǎn,nuan,3
531,nüè,nve,4
532,nuó,nuo,2
533,nuò,nuo,4
534,nǚ,nv,3
535,nǜ,nv,4
536,lā,la,1
537,lá,la,2
538,lǎ,la,3
539,là,la,4
540,la,la,
541,lái,lai,2
542,lài,lai,4
543,lán,lan,2
544,lǎn,lan,3
545,làn,lan,4
546,lāng,lang,1
547,láng,lang,2
548,lǎng,lang,3
549,làng,lang,4
550,lāo,lao,1
551,láo,lao,2
552,lǎo,lao,3
553,lào,lao,4
554,lè,le,4
555,le,le,
556,lēi,lei,1
557,léi,lei,2
558,lěi,lei,3
559,lèi,lei,4
560,lei,lei,
561,léng,leng,2
562,lěng,leng,3
563,lèng,leng,4
564,lí,li,2
565,lǐ,li,3
566,lì,li,4
567,li,li,
568,liǎ,lia,3
569,lián,lian,2
570,liǎn,lian,3
571,liàn,lian,4
572,liáng,liang,2
573,liǎng,liang,3
574,liàng,liang,4
575,liāo,liao,1
576,liáo,liao,2
577,liǎo,liao,3
578,liào,liao,4
579,liē,lie,1
580,liě,lie,3
581,liè,lie,4
582,lie,lie,
583,līn,lin,1
584,lín,lin,2
585,lǐn,lin,3
586,lìn,lin,4
587,líng,ling,2
588,lǐng,ling,3
589,lìng,ling,4
590,liū,liu,1
591,liú,liu,2
592,liǔ,liu,3
593,liù,liu,4
594,lo,lo,
595,lōng,long,1
596,lóng,long,2
597,lǒng,long,3
598,lòng,long,4
599,lōu,lou,1
600,lóu,lou,2
601,lǒu,lou,3
602,lòu,lou,4
603,lou,lou,
604,lū,lu,1
605,lú,lu,2
606,lǔ,lu,3
607,lù,lu,4
608,luán,luan,2
609,luǎn,luan,3
610,luàn,luan,4
611,lüè,lve,4
612,lūn,lun,1
613,lún,lun,2
614,lùn,lun,4
615,luō,luo,1
616,luó,luo,2
617,luǒ,luo,3
618,luò,luo,4
619,luo,luo,
620,lǘ,lv,2
621,lǚ,lv,3
622,lǜ,lv,4
623,gā,ga,1
624,gá,ga,2
625,gǎ,ga,3
626,gà,ga,4
627,gāi,gai,1
628,gǎi,gai,3
629,gài,gai,4
630,gān,gan,1
631,gǎn,gan,3
632,gàn,gan,4
633,gāng,gang,1
634,gǎng,gang,3
635,gàng,gang,4
636,gāo,gao,1
637,gǎo,gao,3
638,gào,gao,4
639,gē,ge,1
640,gé,ge,2
641,gě,ge,3
642,gè,ge,4
643,gēi,gei,1
644,gěi,gei,3
645,gēn,gen,1
646,gén,gen,2
647,gěn,gen,3
648,gèn,gen,4
649,gēng,geng,1
650,gěng,geng,3
651,gèng,geng,4
652,gōng,gong,1
653,gǒng,gong,3
654,gòng,gong,4
