id,name,latin,tone
1252,cuǒ,cuo,3
1253,cuò,cuo,4
1254,sā,sa,1
1255,sǎ,sa,3
1256,sà,sa,4
1257,sāi,sai,1
1258,sài,sai,4
1259,sān,san,1
1260,sǎn,san,3
1261,sàn,san,4
1262,sāng,sang,1
1263,sǎng,sang,3
1264,sàng,sang,4
1265,sāo,sao,1
1266,sǎo,sao,3
1267,sào,sao,4
1268,sè,se,4
1269,sēn,sen,1
1270,sēng,seng,1
1271,sī,si,1
1272,sǐ,si,3
1273,sì,si,4
1274,sōng,song,1
1275,sóng,song,2
1276,sǒng,song,3
1277,sòng,song,4
1278,sōu,sou,1
1279,sǒu,sou,3
1280,sòu,sou,4
1281,sū,su,1
1282,sú,su,2
1283,sù,su,4
1284,suān,suan,1
1285,suǎn,suan,3
1286,suàn,suan,4
1287,suī,sui,1
1288,suí,sui,2
1289,suǐ,sui,3
1290,suì,sui,4
1291,sūn,sun,1
1292,sǔn,sun,3
1293,suō,suo,1
1294,suǒ,suo,3
