id,form,meaning,type,etymology
9660,鹆,"mynah",pictophonetic,"bird"
9661,鹁,"woodpidgeon",pictophonetic,"bird"
9662,鹈,"used in 鵜鶘|鹈鹕[ti2 hu2]",pictophonetic,"bird"
9663,鹅,"goose; CL:隻|只[zhi1]",pictophonetic,"bird"
9664,鹅,"variant of 鵝|鹅[e2]",pictophonetic,"bird"
9665,鹄,"center or bull's eye of an archery target (old); goal; target",pictophonetic,"bird"
9666,鹄,"swan",pictophonetic,"bird"
9667,鹉,"used in 鸚鵡|鹦鹉[ying1wu3]",pictophonetic,"bird"
9668,鹌,"quail",pictophonetic,"bird"
9669,鹏,"Peng, large fabulous bird; roc",pictophonetic,"bird"
9670,鹎,"the Pycnonotidae or bulbul family of birds",pictophonetic,"bird"
9671,雕,"bird of prey",pictophonetic,"bird"
9672,鹊,"magpie",pictophonetic,"bird"
9673,鸦,"variant of 鴉|鸦[ya1]",pictophonetic,"bird"
9674,鹍,"large bird, possibly related to crane or swan (archaic); mythical monstrous bird, cf Sinbad's roc",pictophonetic,"bird"
9675,鸫,"thrush (bird of genus Turdus)",pictophonetic,"bird"
9676,鹑,"quail",pictophonetic,"bird"
9677,鹒,"oriole",pictophonetic,"bird"
9678,鹋,"used in 鴯鶓|鸸鹋[er2miao2]",pictophonetic,"bird"
9679,鹙,"see 鶖鷺|鹙鹭[qiu1 lu4]",pictophonetic,"bird"
9680,鹕,"used in 鵜鶘|鹈鹕[ti2 hu2]",pictophonetic,"bird"
9681,鹗,"(bird species of China) western osprey (Pandion haliaetus)",pictophonetic,"bird"
9682,鹛,"babbler (bird)",pictophonetic,"bird"
9683,鹜,"duck",pictophonetic,"bird"
9684,鸧,"oriole",pictophonetic,"bird"
9685,莺,"oriole or various birds of the Sylvidae family including warblers",ideographic,"A bird 鸟 covered in 冖 green 艹 feathers"
9686,鹤,"crane",pictophonetic,"bird"
9687,鹠,"see 鵂鶹|鸺鹠[xiu1 liu2]",pictophonetic,"bird"
9688,鹡,"used in 鶺鴒|鹡鸰[ji2ling2]",pictophonetic,"bird"
9689,鹘,"falcon; migratory bird",pictophonetic,"bird"
9690,鹣,"mythical bird with one eye and one wing; see also 鰈鶼|鲽鹣[die2 jian1]",pictophonetic,"bird"
9691,鹚,"used in 鸕鶿|鸬鹚[lu2 ci2]",pictophonetic,"bird"
9692,鹚,"variant of 鶿|鹚[ci2]",pictophonetic,"bird"
9693,鹞,"sparrow hawk; Accipiter nisus",pictophonetic,"bird"
