sound,latin,tone
feng,feng,
fó,fo,2
fóu,fou,2
fǒu,fou,3
fū,fu,1
fú,fu,2
fǔ,fu,3
fù,fu,4
fu,fu,
dā,da,1
dá,da,2
dǎ,da,3
dà,da,4
da,da,
dāi,dai,1
dǎi,dai,3
dài,dai,4
dai,dai,
dān,dan,1
dǎn,dan,3
dàn,dan,4
dan,dan,
dāng,dang,1
dǎng,dang,3
dàng,dang,4
dang,dang,
dāo,dao,1
dáo,dao,2
dǎo,dao,3
dào,dao,4
dao,dao,
dē,de,1
dé,de,2
dè,de,4
de,de,
děi,dei,3
dēng,deng,1
děng,deng,3
dèng,deng,4
dī,di,1
dí,di,2
dǐ,di,3
dì,di,4
di,di,
diǎ,dia,3
diān,dian,1
diǎn,dian,3
diàn,dian,4
dian,dian,
diāo,diao,1
diǎo,diao,3
diào,diao,4
diē,die,1
dié,die,2
die,die,
dīng,ding,1
dǐng,ding,3
dìng,ding,4
ding,ding,
diū,diu,1
dōng,dong,1
dǒng,dong,3
dòng,dong,4
dong,dong,
dōu,dou,1
dǒu,dou,3
dòu,dou,4
dou,dou,
dū,du,1
dú,du,2
dǔ,du,3
dù,du,4
du,du,
duān,duan,1
duǎn,duan,3
duàn,duan,4
duī,dui,1
duǐ,dui,3
duì,dui,4
dūn,dun,1
dǔn,dun,3
dùn,dun,4
duō,duo,1
duó,duo,2
duǒ,duo,3
duò,duo,4
duo,duo,
tā,ta,1
tǎ,ta,3
tà,ta,4
ta,ta,
tāi,tai,1
tái,tai,2
tǎi,tai,3
tài,tai,4
tai,tai,
tān,tan,1
tán,tan,2
tǎn,tan,3
tàn,tan,4
tan,tan,
tāng,tang,1
táng,tang,2
tǎng,tang,3
tàng,tang,4
tang,tang,
tāo,tao,1
táo,tao,2
tǎo,tao,3
tào,tao,4
tao,tao,
tè,te,4
tēng,teng,1
téng,teng,2
teng,teng,
tī,ti,1
tí,ti,2
tǐ,ti,3
tì,ti,4
ti,ti,
tiān,tian,1
tián,tian,2
tiǎn,tian,3
tiàn,tian,4
tiāo,tiao,1
tiáo,tiao,2
tiǎo,tiao,3
tiào,tiao,4
tiao,tiao,
tiē,tie,1
tiě,tie,3
tiè,tie,4
tie,tie,
tīng,ting,1
tíng,ting,2
tǐng,ting,3
ting,ting,
tōng,tong,1
tóng,tong,2
tǒng,tong,3
tòng,tong,4
tong,tong,
tōu,tou,1
tóu,tou,2
tǒu,tou,3
tòu,tou,4
tou,tou,
tū,tu,1
tú,tu,2
tǔ,tu,3
tù,tu,4
tu,tu,
tuān,tuan,1
tuán,tuan,2
tuǎn,tuan,3
tuàn,tuan,4
tuī,tui,1
tuí,tui,2
tuǐ,tui,3
tuì,tui,4
tūn,tun,1
tún,tun,2
tǔn,tun,3
tùn,tun,4
tun,tun,
tuō,tuo,1
tuó,tuo,2
tuǒ,tuo,3
tuò,tuo,4
tuo,tuo,
nā,na,1
ná,na,2
nǎ,na,3
nà,na,4
na,na,
nǎi,nai,3
nài,nai,4
nai,nai,
nān,nan,1
nán,nan,2
nǎn,nan,3
nàn,nan,4
nan,nan,
nāng,nang,1
náng,nang,2
nǎng,nang,3
nàng,nang,4
nang,nang,
nāo,nao,1
náo,nao,2
nǎo,nao,3
nào,nao,4
nao,nao,
né,ne,2
nè,ne,4
ne,ne,
něi,nei,3
nèi,nei,4
nei,nei,
nèn,nen,4
nen,nen,
néng,neng,2
nī,ni,1
ní,ni,2
nǐ,ni,3
nì,ni,4
niān,nian,1
nián,nian,2
niǎn,nian,3
niàn,nian,4
niáng,niang,2
niàng,niang,4
niang,niang,
niǎo,niao,3
niào,niao,4
niē,nie,1
nié,nie,2
niè,nie,4
nie,nie,
nín,nin,2
níng,ning,2
nǐng,ning,3
nìng,ning,4
niū,niu,1
niú,niu,2
niǔ,niu,3
niù,niu,4
niu,niu,
nóng,nong,2
nòng,nong,4
nong,nong,
nòu,nou,4
nú,nu,2
nǔ,nu,3
nù,nu,4
nuǎn,nuan,3
nüè,nve,4
nuó,nuo,2
nuǒ,nuo,3
nuò,nuo,4
nǚ,nv,3
nǜ,nv,4
nü,nv,
lā,la,1
lá,la,2
lǎ,la,3
là,la,4
la,la,
lái,lai,2
lài,lai,4
lai,lai,
lán,lan,2
lǎn,lan,3
làn,lan,4
lan,lan,
lāng,lang,1
láng,lang,2
lǎng,lang,3
làng,lang,4
lang,lang,
lāo,lao,1
láo,lao,2
lǎo,lao,3
lào,lao,4
lao,lao,
lè,le,4
le,le,
lēi,lei,1
léi,lei,2
lěi,lei,3
lèi,lei,4
lei,lei,
lēng,leng,1
léng,leng,2
lěng,leng,3
lèng,leng,4
leng,leng,
lī,li,1
lí,li,2
lǐ,li,3
lì,li,4
li,li,
liǎ,lia,3
lián,lian,2
liǎn,lian,3
liàn,lian,4
lian,lian,
liáng,liang,2
liǎng,liang,3
liàng,liang,4
liang,liang,
liāo,liao,1
liáo,liao,2
liǎo,liao,3
liào,liao,4
liao,liao,
liē,lie,1
liě,lie,3
liè,lie,4
lie,lie,
līn,lin,1
lín,lin,2
lǐn,lin,3
lìn,lin,4
līng,ling,1
líng,ling,2
lǐng,ling,3
lìng,ling,4
ling,ling,
liū,liu,1
liú,liu,2
liǔ,liu,3
liù,liu,4
liu,liu,
lo,lo,
lōng,long,1
lóng,long,2
lǒng,long,3
lòng,long,4
long,long,
lōu,lou,1
lóu,lou,2
lǒu,lou,3
lòu,lou,4
lou,lou,
lū,lu,1
lú,lu,2
lǔ,lu,3
lù,lu,4
lu,lu,
luán,luan,2
luǎn,luan,3
luàn,luan,4
lüè,lve,4
lūn,lun,1
lún,lun,2
lùn,lun,4
luō,luo,1
luó,luo,2
luǒ,luo,3
luò,luo,4
luo,luo,
lǘ,lv,2
lǚ,lv,3
lǜ,lv,4
gā,ga,1
gá,ga,2
gǎ,ga,3
gà,ga,4
ga,ga,
gāi,gai,1
gǎi,gai,3
gài,gai,4
gai,gai,
gān,gan,1
gǎn,gan,3
gàn,gan,4
gāng,gang,1
gáng,gang,2
gǎng,gang,3
gàng,gang,4
gang,gang,
gāo,gao,1
gǎo,gao,3
gào,gao,4
gao,gao,
gē,ge,1
gé,ge,2
gě,ge,3
gè,ge,4
ge,ge,
gēi,gei,1
gěi,gei,3
gēn,gen,1
gén,gen,2
gěn,gen,3
gèn,gen,4
gēng,geng,1
gěng,geng,3
gèng,geng,4
gōng,gong,1
gǒng,gong,3
gòng,gong,4
gong,gong,
gōu,gou,1
gǒu,gou,3
gòu,gou,4
gū,gu,1
gǔ,gu,3
gù,gu,4
gu,gu,
guā,gua,1
guǎ,gua,3
guà,gua,4
gua,gua,
guāi,guai,1
guǎi,guai,3
guài,guai,4
guai,guai,
guān,guan,1
guǎn,guan,3
guàn,guan,4
guāng,guang,1
guǎng,guang,3
guàng,guang,4
guang,guang,
guī,gui,1
guǐ,gui,3
